Key,en,es,ar,fr
Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Become a part of our community by registering for an account today. Enjoy a range of benefits and features tailored to meet your needs.,Únete a nuestra comunidad registrándote hoy mismo. Disfruta de una variedad de beneficios y funciones adaptadas a tus necesidades.,انضم إلى مجتمعنا بتسجيل حساب اليوم. استمتع بمجموعة من المزايا والخصائص المصممة خصيصًا لتلبية احتياجاتك.,Rejoignez notre communauté en créant un compte dès aujourd'hui. Profitez d'une gamme d'avantages et de fonctionnalités adaptés à vos besoins.
Enter Name,Enter Name,Introducir nombre,أدخل الاسم,Entrez le nom
Already have an account?,Already have an account?,¿Ya tienes una cuenta?,هل لديك حساب بالفعل؟,Vous avez déjà un compte ?
Terms of Use & Privacy Policy,Terms of Use & Privacy Policy,Condiciones de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية,Conditions d'utilisation et politique de confidentialité
appLAgree,I have read agreed with the,He leído y estoy de acuerdo con el,لقد قرأت موافق عليه,J'ai lu et je suis d'accord avec le
Your account has been create successfully. Thanks for using CrypInvest.,Your account has been create successfully. Thanks for using CrypInvest.,Su cuenta se ha creado correctamente. Gracias por usar CrypInvest.,تم إنشاء حسابك بنجاح. شكرًا لاستخدامك CrypInvest.,Votre compte a été créé avec succès. Merci d'utiliser CrypInvest.
My Invest,My Invest,Mi inversión,استثماري,Mon investissement
Profit Log,Profit Log,Registro de ganancias,سجل الأرباح,Journal des bénéfices
Settings,Settings,Ajustes,إعدادات,Paramètres
Admeral Vison,Admeral Vison,Almeral Vison,الأدميرال فيسون,Vision d'Ameral
Change Language,Change Language,Cambiar idioma,تغيير اللغة,Changer de langue
Delete Account,Delete Account,Eliminar cuenta,حذف الحساب,Supprimer le compte
ID Type,ID Type,Tipo de identificación,نوع الهوية,Type d'identifiant
Select ID Type,Select ID Type,Seleccionar tipo de identificación,حدد نوع المعرف,Sélectionnez le type d'ID
Enable 2FA Security,Enable 2FA Security,Habilitar la seguridad 2FA,تمكين أمان 2FA,Activer la sécurité 2FA
We'll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security.,We'll ask for a verification code via your security method if we notice a sign in from an unrecognized device or browser. Enable your 2FA Security.,Le solicitaremos un código de verificación a través de su método de seguridad si detectamos un inicio de sesión desde un dispositivo o navegador desconocido. Active su seguridad 2FA.,سنطلب رمز تحقق عبر وسيلة الأمان الخاصة بك إذا لاحظنا تسجيل دخول من جهاز أو متصفح غير معروف. فعّل ميزة المصادقة الثنائية (2FA) لديك.,Nous vous demanderons un code de vérification via votre méthode de sécurité si nous constatons une connexion depuis un appareil ou un navigateur non reconnu. Activez votre sécurité 2FA.
Invest Plan,Invest Plan,Plan de inversión,خطة الاستثمار,Plan d'investissement
Add Money,Add Money,Añadir dinero,أضف المال,Ajouter de l'argent
Money Transfer,Money Transfer,Transferencia de dinero,تحويل الأموال,Transfert d'argent
USD,USD,Dólar estadounidense,دولار أمريكي,dollars américains
Limit:,Limit:,Límite:,حد:,Limite:
Rate:,Rate:,Tasa:,معدل:,Taux:
Your money has been added successfully. Thanks for using CrypInvest.,Your money has been added successfully. Thanks for using CrypInvest.,Su dinero se ha añadido correctamente. Gracias por usar CrypInvest.,تم إضافة أموالك بنجاح. شكرًا لاستخدامك CrypInvest.,Votre argent a bien été ajouté. Merci d'avoir utilisé CrypInvest.
Entered Amount,Entered Amount,Cantidad ingresada,المبلغ المدخل,Montant saisi
Amount Information,Amount Information,Información de cantidad,معلومات المبلغ,Informations sur le montant
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ,Entrez le montant
You Will Get,You Will Get,Usted obtendrá,سوف تحصل على,Vous obtiendrez
Total Payable,Total Payable,Total a pagar,إجمالي المبلغ المستحق,Total à payer
Charges,Charges,Cargos,رسوم,Frais
Your money has been out successfully. Thanks for using CrypInvest.,Your money has been out successfully. Thanks for using CrypInvest.,Su dinero se ha retirado correctamente. Gracias por usar CrypInvest.,تم سحب أموالك بنجاح. شكرًا لاستخدامك CrypInvest.,Votre argent a été transféré avec succès. Merci d'avoir utilisé CrypInvest.
Sending Amount,Sending Amount,Monto de envío,مبلغ الإرسال,Montant envoyé
Enter Sending Amount,Enter Sending Amount,Ingrese el monto a enviar,أدخل مبلغ الإرسال,Entrez le montant d'envoi
Receiver Email Address,Receiver Email Address,Dirección de correo electrónico del destinatario,عنوان البريد الإلكتروني للمستلم,Adresse e-mail du destinataire
Receiver Information,Receiver Information,Información del receptor,معلومات المتلقي,Informations sur le destinataire
Enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del destinatario,أدخل عنوان البريد الإلكتروني للمستلم,Saisissez l'adresse e-mail du destinataire
Your money has been transfer successfully. Thanks for using CrypInvest.,Your money has been transfer successfully. Thanks for using CrypInvest.,Su dinero se transfirió correctamente. Gracias por usar CrypInvest.,تم تحويل أموالك بنجاح. شكرًا لاستخدامك CrypInvest.,Votre argent a été transféré avec succès. Merci d'avoir utilisé CrypInvest.
cornel,cornel,cornejo,كورنيل,cornouiller
Arichart,Arichart,Arichart,أريتشارت,Arichart
Phone Number,Phone Number,Número de teléfono,رقم التليفون,Numéro de téléphone
Enter City,Enter City,Entrar Ciudad,أدخل المدينة,Entrez dans la ville
Enter State,Enter State,Ingresar estado,أدخل الولاية,Entrez l'état
Enter Address,Enter Address,Introducir dirección,أدخل العنوان,Entrez l'adresse
Enter ZipCode,Enter ZipCode,Ingrese el código postal,أدخل الرمز البريدي,Entrez le code postal
Update Profile,Update Profile,Actualizar perfil,تحديث الملف الشخصي,Mettre à jour le profil
Choose Plan,Choose Plan,Elija un plan,اختر الخطة,Choisissez un plan
Investment,Investment,Inversión,استثمار,Investissement
Proceed,Proceed,Proceder,يتابع,Procéder
No,No,No,لا,Non
Yes,Yes,Sí,نعم,Oui
Investment Amount,Investment Amount,Monto de la inversión,مبلغ الاستثمار,Montant de l'investissement
Enter investment amount,Enter investment amount,Ingrese el monto de la inversión,أدخل مبلغ الاستثمار,Entrez le montant de l'investissement
I have agreed with Terms & Conditions,I have agreed with Terms & Conditions,Estoy de acuerdo con los Términos y Condiciones.,لقد وافقت على الشروط والأحكام,J'ai accepté les conditions générales
Go To My Invest,Go To My Invest,Ir a Mi inversión,انتقل إلى استثماري,Accéder à mon investissement
Your investment plan has been purchase successfully. Thanks for using CrypInvest.,Your investment plan has been purchase successfully. Thanks for using CrypInvest.,Su plan de inversión se ha comprado correctamente. Gracias por usar CrypInvest.,تم شراء خطة استثمارك بنجاح. شكرًا لاستخدامك CrypInvest.,Votre plan d'investissement a été acheté avec succès. Merci d'avoir utilisé CrypInvest.
please accept our Terms of Use & Privacy Policy for create account,please accept our Terms of Use & Privacy Policy for create account,Por favor acepte nuestros Términos de uso y Política de privacidad para crear una cuenta.,يرجى قبول شروط الاستخدام وسياسة الخصوصية الخاصة بنا لإنشاء حساب,veuillez accepter nos conditions d'utilisation et notre politique de confidentialité pour créer un compte
Do you Want to Sign Out from this Device?,Do you Want to Sign Out from this Device?,¿Quieres cerrar sesión en este dispositivo?,هل تريد تسجيل الخروج من هذا الجهاز؟,Voulez-vous vous déconnecter de cet appareil ?
Sign Out Alert,Sign Out Alert,Alerta de cierre de sesión,تنبيه تسجيل الخروج,Alerte de déconnexion
Select country,Select country,Seleccionar país,اختر البلد,Sélectionnez un pays
Maximum Investment,Maximum Investment,Inversión máxima,الحد الأقصى للاستثمار,Investissement maximal
Fixed Profit,Fixed Profit,Beneficio fijo,ربح ثابت,Bénéfice fixe
Percentage Profit,Percentage Profit,Porcentaje de beneficio,نسبة الربح,Pourcentage de profit
Minimum Invest,Minimum Invest,Inversión mínima,الحد الأدنى للاستثمار,Investissement minimum
profit_return_type,profit_return_type,tipo de retorno de ganancias,نوع عائد الربح,type_de_rendement_du_bénéfice
Just Click To Try This,Just Click To Try This,Simplemente haga clic para probar esto,فقط انقر لتجربة هذا,Cliquez simplement pour essayer ceci
Duration,Duration,Duración,مدة,Durée
Profit Return Type,Profit Return Type,Tipo de retorno de ganancias,نوع عائد الربح,Type de retour sur bénéfice
Days,Days,Días,أيام,Jours
Profit,Profit,Ganancia,ربح,Profit
Pending,Pending,Pendiente,قيد الانتظار,En attente
